Título da checagem,Data da checagem,Natureza da notícia,Candidato(s) favorecidos(s) pela notícia falsa,Agência,Link
"Bolsonaro não criou o Pix, ao contrário do que diz post em rede social",8/1/2022,Falsa,Jair Bolsonaro,Projeto Comprova,https://projetocomprova.com.br/publicações/bolsonaro-nao-criou-o-pix-ao-contrario-do-que-diz-post-em-rede-social/
É falso que TSE tem 32 mil urnas grampeadas com o objetivo de fraudar a eleição,8/1/2022,Falsa,Jair Bolsonaro,Projeto Comprova,https://projetocomprova.com.br/publicações/e-falso-que-tse-tem-32-mil-urnas-grampeadas-com-o-objetivo-de-fraudar-a-eleicao/
Áudio de William Bonner chamando Lula e Alckmin de bandidos é falso e foi feito com ferramenta de deepfake,8/1/2022,Falsa,Jair Bolsonaro,Projeto Comprova,https://projetocomprova.com.br/publicações/audio-de-william-bonner-chamando-lula-e-alckmin-de-bandidos-e-falso-e-foi-feito-com-ferramenta-de-deepfakeo/
Vídeo em posto de gasolina não prova crime eleitoral por parte do PT do Piauí,8/4/2022,Falsa,Jair Bolsonaro,Projeto Comprova,https://projetocomprova.com.br/publicações/video-em-posto-de-gasolina-nao-prova-crime-eleitoral-por-parte-do-pt-do-piaui/
É falsa imagem de notícia que atrela apoio de banqueiros a Lula em troca da revogação do Pix,8/5/2022,Falsa,Jair Bolsonaro,Projeto Comprova,https://projetocomprova.com.br/publicações/e-falsa-imagem-de-noticia-que-atrela-apoio-de-banqueiros-a-lula-em-troca-da-revogacao-do-pix/
Não há registro público de declaração de Lula nem do MST sobre eliminar agronegócio da Terra,8/10/2022,Falsa,Jair Bolsonaro,Projeto Comprova,https://projetocomprova.com.br/publicações/nao-ha-registro-publico-de-declaracao-de-lula-nem-do-mst-sobre-eliminar-agronegocio-da-terra/
"Ao contrário do que afirma vídeo, Lula não disse que vai implantar ditadura no Brasil em entrevista a canal chinês",8/11/2022,Falsa,Jair Bolsonaro,Projeto Comprova,https://projetocomprova.com.br/publicações/ao-contrario-do-que-afirma-video-lula-nao-disse-que-vai-implantar-ditadura-no-brasil-em-entrevista-a-canal-chines/
Vídeo engana ao afirmar que banqueiros apoiam Lula por supostos prejuízos ao setor provocados por Bolsonaro,8/11/2022,Falsa,Lula,Projeto Comprova,https://projetocomprova.com.br/publicações/video-engana-ao-afirmar-que-banqueiros-apoiam-lula-por-supostos-prejuizos-ao-setor-provocados-por-bolsonaro/
Entenda o que é e como funciona a fiscalização do código-fonte das urnas eletrônicas,8/11/2022,,indefinido,Projeto Comprova,https://projetocomprova.com.br/publicações/entenda-o-que-e-e-como-funciona-a-fiscalizacao-do-codigo-fonte-das-urnas-eletronicas/
Entenda o que é a política de redução de danos a usuários de drogas criticada em vídeo por Damares Alves,8/12/2022,Falsa,Jair Bolsonaro,Projeto Comprova,https://projetocomprova.com.br/publicações/entenda-o-que-e-a-politica-de-reducao-de-danos-a-usuarios-de-drogas-criticada-em-video-por-damares-alves/
"Reportagem cita outros países com cenário econômico positivo além do Brasil, diferentemente do que diz pastor",8/15/2022,Falsa,Jair Bolsonaro,Projeto Comprova,https://projetocomprova.com.br/publicações/reportagem-cita-outros-paises-com-cenario-economico-positivo-alem-do-brasil-diferentemente-do-que-diz-pastor/
Não há registro no TSE de suposta pesquisa que impede entrevistado de votar em Bolsonaro,8/15/2022,Falsa,Jair Bolsonaro,Projeto Comprova,https://projetocomprova.com.br/publicações/nao-ha-registro-no-tse-de-suposta-pesquisa-que-impede-entrevistado-de-votar-em-bolsonaro/
"Brasil não foi o único país a registrar deflação em julho, ao contrário do que afirma post",8/17/2022,Falsa,Jair Bolsonaro,Projeto Comprova,https://projetocomprova.com.br/publicações/brasil-nao-foi-o-unico-pais-a-registrar-deflacao-em-julho-ao-contrario-do-que-afirma-post/
Decreto para participação das Forças Armadas nas eleições é praxe no Brasil e não confere mais força ao atual presidente da República,8/17/2022,Falsa,Jair Bolsonaro,Projeto Comprova,https://projetocomprova.com.br/publicações/decreto-para-participacao-das-forcas-armadas-nas-eleicoes-e-praxe-no-brasil-e-nao-confere-mais-forca-ao-atual-presidente-da-republica/
"Museu no Rio de Janeiro cobriu nome de Lula em placa, como mostra vídeo",8/19/2022,Verdadeira,indefinido,Projeto Comprova,https://projetocomprova.com.br/publicações/museu-no-rio-de-janeiro-cobriu-nome-de-lula-em-placa-como-mostra-video/
Posts enganam ao sugerir que Bolsonaro e ministros olhavam para Lula em foto feita no TSE,8/19/2022,Falsa,Lula,Projeto Comprova,https://projetocomprova.com.br/publicações/posts-enganam-ao-sugerir-que-bolsonaro-e-ministros-olhavam-para-lula-em-foto-feita-no-tse/
