Título da checagem,Data da checagem,Natureza da notícia,Candidato(s) favorecidos(s) pela notícia falsa,Agência,Link
É falso que Fábio Assunção gravou vídeo imaginando reeleição de Bolsonaro,8/2/2022,Falsa,Jair Bolsonaro,Agência Lupa,https://lupa.uol.com.br/jornalismo/2022/08/02/fabio-assuncao-reeleicao-bolsonaro
É falso que banqueiros esperam que Lula revogue o Pix se for eleito,8/2/2022,Falsa,Jair Bolsonaro,Agência Lupa,https://lupa.uol.com.br/jornalismo/2022/08/02/banqueiros-pix-apoio-lula
Jogadora da seleção não foi proibida pela 'esquerda' de comemorar com a bandeira do Brasil,8/2/2022,Falsa,Jair Bolsonaro,Agência Lupa,https://lupa.uol.com.br/jornalismo/2022/08/02/jogadora-selecao-proibida-comemorar-bandeira-brasil
Trecho de vídeo sobre saques na Argentina foi gravado no México,8/3/2022,Falsa,Jair Bolsonaro,Agência Lupa,https://lupa.uol.com.br/jornalismo/2022/08/03/video-saques-argentina
É falso que Lula disse que ‘100% das mulheres do México são mulheres’,8/3/2022,Falsa,Jair Bolsonaro,Agência Lupa,https://lupa.uol.com.br/jornalismo/2022/08/03/lula-100-mulheres-mexico
Post com foto de 'caças chineses indo para Taiwan' mostra aeronaves russas,8/3/2022,Falsa,,Agência Lupa,https://lupa.uol.com.br/jornalismo/2022/08/03/nancy-pelosi-cacas-taiwan
"Comparativo sobre desemprego, contas públicas e lucro de estatais em 2018 e 2022 traz dados falsos",8/4/2022,Falsa,Jair Bolsonaro,Agência Lupa,https://lupa.uol.com.br/jornalismo/2022/08/04/desemprego-contas-publicas-lucro-de-estatais-2018-e-2022-dados-falsos
É falso que Lula e MST disseram que o agronegócio deve ser eliminado da Terra,8/5/2022,Falsa,Jair Bolsonaro,Agência Lupa,https://lupa.uol.com.br/jornalismo/2022/08/05/lula-mst-eliminar-agronegocio
Avião mostrado em vídeo viral não foi comprado pelos Correios,8/5/2022,Falsa,Jair Bolsonaro,Agência Lupa,https://lupa.uol.com.br/jornalismo/2022/08/05/aviao-comprado-correios
É falso que rede de Lojas Renner fechou parceria com o PT e declarou apoio a Lula,8/5/2022,Falsa,Lula,Agência Lupa,https://lupa.uol.com.br/jornalismo/2022/08/05/lojas-renner-apoio-lula
Lista com 72 leis de ‘proteção à mulher’ sancionadas por Bolsonaro tem 26 normas sem relação com o tema,8/8/2022,Falsa,Jair Bolsonaro,Agência Lupa,https://lupa.uol.com.br/jornalismo/2022/08/08/bolsonaro-72-leis-mulheres
É falso vídeo viral em que William Bonner chama Lula e Alckmin de bandidos,8/8/2022,Falsa,Jair Bolsonaro,Agência Lupa,https://lupa.uol.com.br/jornalismo/2022/08/08/william-bonner-lula-alckmin-bandidos
É falso que Tom Cruise declarou apoio à reeleição de Bolsonaro,8/10/2022,Falsa,Jair Bolsonaro,Agência Lupa,https://lupa.uol.com.br/jornalismo/2022/08/10/tom-cruise-apoio-bolsonaro
É falso que TSE negou pedido de candidatura à reeleição de Bolsonaro,8/10/2022,Falsa,Jair Bolsonaro,Agência Lupa,https://lupa.uol.com.br/jornalismo/2022/08/10/tse-negou-candidatura-bolsonaro
É falso que Carlinhos Maia vai sortear 50 cartões de reforma de casa,8/11/2022,Falsa,,Agência Lupa,https://lupa.uol.com.br/jornalismo/2022/08/11/carlinhos-maia-sorteio-reforma
É falso que Lula disse que trabalhadores não devem ter férias e 13º salário,8/11/2022,Falsa,Jair Bolsonaro,Agência Lupa,https://lupa.uol.com.br/jornalismo/2022/08/11/lula-trabalhadores-ferias-13o-salario
Governo do Espírito Santo não impediu navio com diesel russo de atracar em portos do estado,8/12/2022,Falsa,Jair Bolsonaro,Agência Lupa,https://lupa.uol.com.br/jornalismo/2022/08/12/governo-es-navio-diesel-russo-portos
É montagem foto em que Lula aparece sorrindo ao lado de Sergio Moro,8/12/2022,Falsa,,Agência Lupa,https://lupa.uol.com.br/jornalismo/2022/08/12/montagem-foto-lula-sergio-moro
É falso que estudo da Harvard comprovou que hidroxicloroquina é eficaz como tratamento precoce contra a Covid-19,8/15/2022,Falsa,Jair Bolsonaro,Agência Lupa,https://lupa.uol.com.br/jornalismo/2022/08/15/estudo-harvard-hidroxicloroquina-tratamento-precoce
É falso que ONU se declara inimiga da igreja cristã,8/15/2022,Falsa,Jair Bolsonaro,Agência Lupa,https://lupa.uol.com.br/jornalismo/2022/08/15/onu-inimiga-igreja-crista
É falso que as urnas eletrônicas não mudaram desde 1996,8/17/2022,Falsa,Jair Bolsonaro,Agência Lupa,https://lupa.uol.com.br/jornalismo/2022/08/17/urnas-eletronicas-1996
Mulher em vídeo viral não é funcionária do TSE e falhas apontadas foram corrigidas,8/17/2022,Falsa,Jair Bolsonaro,Agência Lupa,https://lupa.uol.com.br/jornalismo/2022/08/17/funcionaria-tse-vulnerabilidade-urnas
É falso vídeo em que JN exibe pesquisa do Ipec com Bolsonaro na liderança,8/17/2022,Falsa,Jair Bolsonaro,Agência Lupa,https://lupa.uol.com.br/jornalismo/2022/08/17/video-jn-ipec-bolsonaro
É falso que QR Code no título de eleitor vem com fraude e vira voto para Lula,8/17/2022,Falsa,Jair Bolsonaro,Agência Lupa,https://lupa.uol.com.br/jornalismo/2022/08/17/qr-code-no-titulo-de-eleitor-fraude
É falso que Fernando Haddad pretende extinguir a Rota e criar rede social para monitorar policiais militares,8/17/2022,Falsa,Jair Bolsonaro,Agência Lupa,https://lupa.uol.com.br/jornalismo/2022/08/18/fernando-haddad-extinguir-rota
É falso vídeo em que torcedores do Flamengo xingam Lula no Maracanã,8/18/2022,Falsa,Jair Bolsonaro,Agência Lupa,https://lupa.uol.com.br/jornalismo/2022/08/18/torcedores-do-flamengo-xingam-lula-
"É falso que Lula prometeu taxar igrejas, calar religiosos e redefinir a família",8/19/2022,Falsa,Jair Bolsonaro,Agência Lupa,https://lupa.uol.com.br/jornalismo/2022/08/19/lula-prometeu-taxar-igrejas-calar-religiosos-redefinir-familia
É falsa entrevista de Luciano Hang sobre investimento em bitcoins,8/19/2022,Falsa,,Agência Lupa,https://lupa.uol.com.br/jornalismo/2022/08/19/entrevista-luciano-hang-bitcoins
É falso que Google produziu enquete que mostra liderança de Bolsonaro,8/19/2022,Falsa,Jair Bolsonaro,Agência Lupa,https://lupa.uol.com.br/jornalismo/2022/08/19/google-enquete-lideranca-bolsonaro
É falso que usuários de cartão de crédito podem resgatar valores no banco,8/22/2022,Falsa,,Agência Lupa,https://lupa.uol.com.br/jornalismo/2022/08/22/e-falso-que-usuarios-de-cartao-de-credito-podem-resgatar-valores-no-banco
É falso que Lula foi chamado de ladrão durante comício em Belo Horizonte,8/22/2022,Falsa,Jair Bolsonaro,Agência Lupa,https://lupa.uol.com.br/jornalismo/2022/08/22/e-falso-que-lula-foi-chamado-de-ladrao-durante-comicio-em-belo-horizonte
É falso que Lula prometeu investir em usina nuclear em Cuba,8/22/2022,Falsa,Jair Bolsonaro,Agência Lupa,https://lupa.uol.com.br/jornalismo/2022/08/22/lula-usina-nuclear-cuba
É falso que mamografia pode causar câncer de mama,8/22/2022,Falsa,,Agência Lupa,https://lupa.uol.com.br/jornalismo/2022/08/22/mamografia-cancer-de-mama
É falso que jornalistas estrangeiros riram sobre Lula querer comprar votos de baianos,8/23/2022,Falsa,Jair Bolsonaro,Agência Lupa,https://lupa.uol.com.br/jornalismo/2022/08/23/e-falso-que-jornalistas-estrangeiros-riram-sobre-lula-querer-comprar-votos-de-baianos
Vídeo viral engana ao dizer que Renata Vasconcellos mentiu sobre campanha 'fique em casa' na pandemia,8/23/2022,Falsa,Jair Bolsonaro,Agência Lupa,https://lupa.uol.com.br/jornalismo/2022/08/23/fique-em-casa
É falso que Lula disse que o mundo e o Brasil só serão justos sem mulheres,8/23/2022,Falsa,Jair Bolsonaro,Agência Lupa,https://lupa.uol.com.br/jornalismo/2022/08/23/lula-mundo-sem-mulheres
"É falso que Lula disse, em vídeo, que produz fake news e mente contra Bolsonaro",8/24/2022,Falsa,Jair Bolsonaro,Agência Lupa,https://lupa.uol.com.br/jornalismo/2022/08/24/lula-produz-fake-news
"É falso que entrevista de Bolsonaro ao Jornal Nacional foi assistida em 97,3% das TVs ligadas",8/24/2022,Falsa,Jair Bolsonaro,Agência Lupa,https://lupa.uol.com.br/jornalismo/2022/08/24/entrevista-de-bolsonaro-ao-jornal-nacional-
É falso que SBT vai entrevistar Bolsonaro no mesmo dia de Lula na Globo,8/24/2022,Falsa,Jair Bolsonaro,Agência Lupa,https://lupa.uol.com.br/jornalismo/2022/08/24/sbt-vai-entrevistar-bolsonaro
